,Elae,Misa,Myia,Myma,Step,Tang,Thbo,Thsa,Tual,Tuam,Turu,Viol
Elae,0,103.059977,42.44764633,42.44764633,103.059977,103.059977,103.059977,103.059977,103.059977,103.059977,103.059977,103.059977
Misa,103.059977,0,103.059977,103.059977,58.71631677,58.71631677,58.71631677,58.71631677,58.71631677,58.71631677,58.71631677,101.059977
Myia,42.44764633,103.059977,0,28.60642081,103.059977,103.059977,103.059977,103.059977,103.059977,103.059977,103.059977,103.059977
Myma,42.44764633,103.059977,28.60642081,0,103.059977,103.059977,103.059977,103.059977,103.059977,103.059977,103.059977,103.059977
Step,103.059977,58.71631677,103.059977,103.059977,0,23.03630049,23.03630049,23.03630049,60.71631677,60.71631677,60.71631677,101.059977
Tang,103.059977,58.71631677,103.059977,103.059977,23.03630049,0,23.03630049,23.03630049,60.71631677,60.71631677,60.71631677,101.059977
Thbo,103.059977,58.71631677,103.059977,103.059977,23.03630049,23.03630049,0,17.98124264,60.71631677,60.71631677,60.71631677,101.059977
Thsa,103.059977,58.71631677,103.059977,103.059977,23.03630049,23.03630049,17.98124264,0,60.71631677,60.71631677,60.71631677,101.059977
Tual,103.059977,58.71631677,103.059977,103.059977,60.71631677,60.71631677,60.71631677,60.71631677,0,14.61641382,12.61641382,101.059977
Tuam,103.059977,58.71631677,103.059977,103.059977,60.71631677,60.71631677,60.71631677,60.71631677,14.61641382,0,14.61641382,101.059977
Turu,103.059977,58.71631677,103.059977,103.059977,60.71631677,60.71631677,60.71631677,60.71631677,12.61641382,14.61641382,0,101.059977
Viol,103.059977,101.059977,103.059977,103.059977,101.059977,101.059977,101.059977,101.059977,101.059977,101.059977,101.059977,0