,Scbu,Scpo,Myrs,Dara,Trac,Chal,Chma,Myat,Blsa,Cuve,Libr,Meaz,Stle,Chob,Guur,Bela,Aled,Euun,Casy,Ildu,Cimo,Mypa
Elae,9,11,13,4,4,4,3,1,3,0,1,0,2,1,1,1,1,0,1,0,0,0
Misa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myia,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Myma,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Step,5,1,7,2,2,1,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Tang,3,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thbo,2,1,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thsa,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tual,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuam,1,1,4,5,0,0,0,0,0,0,1,2,2,0,0,2,1,1,0,0,0,0
Turu,4,4,8,2,4,2,0,0,1,0,1,2,0,2,0,0,0,1,0,1,1,0
Viol,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0