,dispersule_diameter,aril_presence,maximum_plant_height,spherical,ellipsoidal,triangular,black_purple,yellow_orange,red,brown,white,beige,green
Scbu,6.8,0,20,0,0,1,1,0,0,0,0,0,0
Scpo,5.1,0,5,1,0,0,0,0,0,0,0,1,0
Myrs,3.67,0,10.66666667,1,0,0,1,0,0,0,0,0,0
Dara,5.97,0,3,0,1,0,0,0,0,0,0,0,1
Trac,7,0,15,0,1,0,1,0,0,0,0,0,0
Chal,3.85,0,6,1,0,0,0,0,0,0,1,0,0
Chma,7.7,0,10,0,1,0,1,0,0,0,0,0,0
Myat,6.1,0,10,0,1,0,1,0,0,0,0,0,0
Blsa,6,0,20,1,0,0,0,0,1,0,0,0,0
Cuve,9.13,1,25,0,0,1,0,0,0,1,0,0,0
Libr,6.27,0,14,1,0,0,0,0,0,0,0,1,0
Meaz,14.46,0,20,1,0,0,0,1,0,0,0,0,0
Stle,9.64,0,20,0,1,0,0,0,0,0,0,0,1
Chob,9.46,0,4,0,1,0,1,0,0,0,0,0,0
Guur,8.31,0,7,0,1,0,1,0,0,0,0,0,0
Bela,6.4,0,3,1,0,0,1,0,0,0,0,0,0
Aled,7.8,0,10,1,0,0,0,0,1,0,0,0,0
Euun,7.76,0,12,1,0,0,0,0,1,0,0,0,0
Casy,3.5,0,20,1,0,0,0,0,1,0,0,0,0
Ildu,3.82,0,9,1,0,0,1,0,0,0,0,0,0
Cimo,8.1,0,10,1,0,0,0,0,1,0,0,0,0
Mypa,5.77,0,7,1,0,0,1,0,1,0,0,0,0